Time,I,Q
51:10.4,520,523
51:10.4,521,521
51:10.4,529,519
51:10.4,523,523
51:10.4,522,521
51:10.4,528,521
51:10.4,522,517
51:10.4,525,522
51:10.4,519,522
51:10.4,519,520
51:10.4,522,522
51:10.4,529,519
51:10.4,525,524
51:10.4,524,525
51:10.4,519,519
51:10.4,526,519
51:10.4,521,524
51:10.4,524,520
51:10.4,526,520
51:10.4,518,518
51:10.4,521,518
51:10.4,523,521
51:10.4,522,517
51:10.4,528,520
51:10.4,525,519
51:10.4,523,518
51:10.4,526,523
51:10.4,525,523
51:10.4,521,524
51:10.4,524,521
51:10.4,522,522
51:10.4,519,520
51:10.5,519,519
51:10.5,525,523
51:10.5,518,525
51:10.5,519,522
51:10.5,523,521
51:10.5,521,516
51:10.5,523,517
51:10.5,528,519
51:10.5,522,522
51:10.5,522,519
51:10.5,523,523
51:10.5,524,522
51:10.5,527,520
51:10.5,521,519
51:10.5,522,524
51:10.5,517,521
51:10.5,522,519
51:10.5,520,523
51:10.5,519,526
51:10.5,524,523
51:10.5,520,521
51:10.5,525,521
51:10.5,527,521
51:10.5,524,520
51:10.5,527,518
51:10.5,526,518
51:10.5,522,519
51:10.5,527,524
51:10.5,520,524
51:10.5,520,522
51:10.5,523,522
51:10.5,523,518
51:10.5,527,519
51:10.5,522,518
51:10.5,524,519
51:10.5,519,518
51:10.5,521,526
51:10.5,513,524
51:10.5,521,522
51:10.5,519,521
51:10.5,523,517
51:10.6,529,521
51:10.6,524,519
51:10.6,527,522
51:10.6,527,524
51:10.6,514,519
51:10.6,521,521
51:10.6,522,521
51:10.6,520,519
51:10.6,522,524
51:10.6,526,526
51:10.6,524,525
51:10.6,523,525
51:10.6,521,524
51:10.6,514,522
51:10.6,524,524
51:10.6,525,526
51:10.6,526,525
51:10.6,521,525
51:10.6,522,522
51:10.6,521,521
51:10.6,521,521
51:10.6,523,518
51:10.6,530,523
51:10.6,520,522
51:10.6,523,520
51:10.6,523,523
51:10.6,518,519
51:10.6,520,519
51:10.6,524,518
51:10.6,523,520
51:10.6,519,522
51:10.6,521,524
51:10.6,521,521
51:10.6,522,524
51:10.6,523,521
51:10.6,520,523
51:10.6,520,521
51:10.6,526,525
51:10.6,521,520
51:10.6,519,520
51:10.7,525,518
51:10.7,527,524
51:10.7,517,519
51:10.7,520,518
51:10.7,524,523
51:10.7,523,521
51:10.7,522,523
51:10.7,524,521
51:10.7,521,516
51:10.7,525,520
51:10.7,520,524
51:10.7,524,523
51:10.7,526,522
51:10.7,525,521
51:10.7,520,522
51:10.7,519,526
51:10.7,511,526
51:10.7,515,524
51:10.7,517,521
51:10.7,526,523
51:10.7,518,526
51:10.7,518,523
51:10.7,521,523
51:10.7,523,521
51:10.7,519,523
51:10.7,523,521
51:10.7,524,522
51:10.7,521,521
51:10.7,522,518
51:10.7,522,519
51:10.7,527,522
51:10.7,520,520
51:10.7,524,525
51:10.7,519,520
51:10.7,521,523
51:10.8,517,524
51:10.8,521,525
51:10.8,523,518
51:10.8,526,522
51:10.8,520,523
51:10.8,525,517
51:10.8,523,520
51:10.8,523,518
51:10.8,528,521
51:10.8,523,519
51:10.8,522,517
51:10.8,528,518
51:10.8,521,521
51:10.8,521,520
51:10.8,524,519
51:10.8,523,523
51:10.8,520,523
51:10.8,525,519
51:10.8,523,519
51:10.8,522,523
51:10.8,519,523
51:10.8,524,522
51:10.8,521,521
51:10.8,524,521
51:10.8,521,521
51:10.8,525,525
51:10.8,522,522
51:10.8,518,520
51:10.8,527,522
51:10.8,524,521
51:10.8,522,525
51:10.8,522,522
51:10.8,522,522
51:10.8,521,521
51:10.8,526,518
51:10.8,526,520
51:10.8,527,517
51:10.8,522,520
51:10.8,524,527
51:10.8,522,521
51:10.8,524,521
51:10.8,518,524
51:10.8,516,524
51:10.8,518,525
51:10.8,521,524
51:10.8,523,521
51:10.8,516,527
51:10.8,520,524
51:10.8,524,520
51:10.8,522,521
51:10.8,520,520
51:10.8,527,518
51:10.8,526,516
51:10.8,529,524
51:10.8,522,519
51:10.8,522,525
51:10.8,521,520
51:10.8,519,522
51:10.8,524,521
51:10.8,524,522
51:10.9,520,521
51:10.9,525,525
51:10.9,524,522
51:10.9,520,523
51:10.9,521,522
51:10.9,523,524
51:10.9,519,522
51:10.9,525,519
51:10.9,525,522
51:10.9,521,519
51:10.9,523,524
51:10.9,523,521
51:10.9,524,519
51:10.9,519,523
51:10.9,519,521
51:10.9,523,521
51:10.9,526,525
51:10.9,517,525
51:10.9,523,521
51:10.9,526,522
51:10.9,519,520
51:10.9,526,520
51:10.9,527,523
51:10.9,519,522
51:10.9,519,521
51:10.9,522,522
51:10.9,524,518
51:10.9,526,522
51:10.9,517,525
51:10.9,514,524
51:10.9,520,521
51:10.9,526,520
51:10.9,527,525
51:10.9,520,523
51:10.9,525,523
51:10.9,525,521
51:10.9,524,520
51:10.9,519,519
51:10.9,522,523
51:10.9,524,528
51:11.0,520,524
51:11.0,523,523
51:11.0,523,525
51:11.0,522,518
51:11.0,523,523
51:11.0,520,524
51:11.0,524,526
51:11.0,520,522
51:11.0,521,517
51:11.0,528,520
51:11.0,522,521
51:11.0,518,523
51:11.0,524,523
51:11.0,525,522
51:11.0,525,520
51:11.0,524,519
51:11.0,519,522
51:11.0,522,525
51:11.0,523,519
51:11.0,526,524
51:11.0,523,523
51:11.0,520,522
51:11.0,523,520
51:11.0,527,522
51:11.0,519,520
51:11.0,524,521
51:11.0,523,521
51:11.0,524,524
51:11.0,523,517
51:11.0,524,522
51:11.0,522,522
51:11.0,517,519
51:11.0,523,520
51:11.0,523,522
51:11.0,523,523
51:11.0,524,519
51:11.0,522,518
51:11.0,526,524
51:11.0,520,522
51:11.0,519,523
