Time,I,Q
51:11.1,523,525
51:11.1,521,524
51:11.1,520,522
51:11.1,520,523
51:11.1,525,522
51:11.1,525,520
51:11.1,532,519
51:11.1,523,519
51:11.1,524,524
51:11.1,521,524
51:11.2,519,524
51:11.2,517,517
51:11.2,519,524
51:11.2,522,525
51:11.2,517,518
51:11.2,523,524
51:11.2,525,521
51:11.2,522,523
51:11.2,520,522
51:11.2,524,523
51:11.2,525,523
51:11.2,525,523
51:11.2,525,519
51:11.2,527,522
51:11.2,518,522
51:11.2,528,521
51:11.2,522,517
51:11.2,528,520
51:11.2,525,521
51:11.2,525,522
51:11.2,518,522
51:11.2,521,520
51:11.2,524,519
51:11.2,531,523
51:11.2,523,521
51:11.2,523,524
51:11.2,521,522
51:11.2,525,520
51:11.2,520,520
51:11.2,522,522
51:11.2,527,516
51:11.2,526,524
51:11.2,519,520
51:11.2,521,521
51:11.2,521,518
51:11.2,521,521
51:11.2,519,523
51:11.2,516,524
51:11.2,521,522
51:11.2,523,521
51:11.2,523,520
51:11.2,527,524
51:11.2,522,519
51:11.3,528,519
51:11.3,519,523
51:11.3,524,520
51:11.3,521,521
51:11.3,525,523
51:11.3,520,521
51:11.3,524,522
51:11.3,520,526
51:11.3,522,525
51:11.3,521,522
51:11.3,526,522
51:11.3,526,524
51:11.3,520,520
51:11.3,517,521
51:11.3,523,523
51:11.3,522,522
51:11.3,521,520
51:11.3,520,520
51:11.3,519,525
51:11.3,519,519
51:11.3,528,522
51:11.3,519,522
51:11.3,525,522
51:11.3,524,525
51:11.3,519,524
51:11.3,519,523
51:11.3,528,522
51:11.3,518,521
51:11.3,526,523
51:11.3,521,525
51:11.3,520,523
51:11.3,524,522
51:11.3,524,521
51:11.3,525,521
51:11.3,522,521
51:11.3,520,521
51:11.3,520,520
51:11.3,524,520
51:11.3,526,522
51:11.3,523,524
51:11.3,522,519
51:11.3,522,520
51:11.3,525,523
51:11.4,520,519
51:11.4,523,521
51:11.4,523,520
51:11.4,525,518
51:11.4,525,521
51:11.4,520,522
51:11.4,522,526
51:11.4,516,521
51:11.4,519,520
51:11.4,524,525
51:11.4,522,521
51:11.4,527,523
51:11.4,522,521
51:11.4,523,523
51:11.4,521,520
51:11.4,518,522
51:11.4,520,525
51:11.4,518,519
51:11.4,525,521
51:11.4,523,521
51:11.4,524,522
51:11.4,523,527
51:11.4,524,526
51:11.4,519,523
51:11.4,526,521
51:11.4,525,523
51:11.4,520,527
51:11.4,519,522
51:11.4,522,520
51:11.4,525,523
51:11.4,520,524
51:11.4,523,522
51:11.4,522,519
51:11.4,524,520
51:11.4,525,521
51:11.4,527,520
51:11.4,523,520
51:11.4,524,525
51:11.4,517,522
51:11.4,525,519
51:11.4,526,523
51:11.4,519,519
51:11.4,525,522
51:11.5,527,519
51:11.5,522,522
51:11.5,521,522
51:11.5,522,523
51:11.5,524,522
51:11.5,526,523
51:11.5,522,526
51:11.5,523,520
51:11.5,521,522
51:11.5,521,522
51:11.5,522,523
51:11.5,521,521
51:11.5,521,523
51:11.5,526,520
51:11.5,524,518
51:11.5,523,522
51:11.5,525,519
51:11.5,522,524
51:11.5,518,520
51:11.5,524,524
51:11.5,525,521
51:11.5,517,522
51:11.5,520,520
51:11.5,523,522
51:11.5,521,525
51:11.5,519,521
51:11.5,521,520
51:11.5,525,523
51:11.5,526,522
51:11.5,521,522
51:11.5,524,524
51:11.5,521,522
51:11.5,521,519
51:11.5,529,521
51:11.5,518,521
51:11.5,525,519
51:11.5,524,521
51:11.5,523,521
51:11.5,520,521
